3,26,814
4,56,1362
5,98,1966
6,152,2285
7,218,2783
8,296,3084
9,386,4261
10,488,4333
11,602,5312
12,728,5761
13,866,6712
14,1016,7041
15,1178,7885
16,1352,8476
17,1538,9423
18,1736,9817
19,1946,11093
20,2168,11107
21,2402,12634
22,2648,12796
23,2906,14119
24,3176,14510
25,3458,16081
26,3752,16264
27,4058,17748
28,4376,18338
29,4706,19657
30,5048,20025
31,5402,21204
32,5768,21816
33,6146,23809
34,6536,24163
35,6938,25481
36,7352,26581
37,7778,27936
38,8216,27941
39,8666,30323
40,9128,30343
41,9602,31763
42,10088,32817
43,10586,34650
44,11096,35296
45,11618,36986
46,12152,38264
47,12698,39179
48,13256,40201
49,13826,41692
50,14408,42927
51,15002,44528
52,15608,45127
53,16226,46957
54,16856,47700
55,17498,49937
56,18152,50163
57,18818,52994
58,19496,53542
59,20186,55614
60,20888,56463
61,21602,58349
62,22328,59157
63,23066,61406
64,23816,62378
65,24578,64690
66,25352,65541
67,26138,67445
68,26936,68221
69,27746,70831
70,28568,71330
71,29402,73837
72,30248,74930
73,31106,77365
74,31976,78317
75,32858,80533
76,33752,81323
77,34658,83843
78,35576,84450
79,36506,87399
80,37448,87852
81,38402,90665
82,39368,91795
83,40346,93841
84,41336,95237
85,42338,97826
86,43352,98810
87,44378,101061
88,45416,102665
89,46466,105462
90,47528,106308
91,48602,108910
92,49688,109939
93,50786,113036
94,51896,113616
95,53018,116595
96,54152,117984
97,55298,120547
98,56456,121158
99,57626,124236
100,58808,125582
101,60002,129297
102,61208,129836
103,62426,133247
104,63656,134055
105,64898,136589
106,66152,138113
107,67418,141250
108,68696,142673
109,69986,145513
110,71288,146597
111,72602,149356
112,73928,151500
113,75266,154247
114,76616,155726
115,77978,158945
116,79352,159860
117,80738,163017
118,82136,164030
119,83546,168183
120,84968,168742
121,86402,172341
122,87848,174099
123,89306,177040
124,90776,178247
125,92258,181442
126,93752,183336
127,95258,186345
128,96776,187873
130,99848,192902
132,102968,197496
134,106136,202625
136,109352,208311
138,112616,213034
140,115928,218088
142,119288,224143
144,122696,228384
146,126152,234411
148,129656,239840
150,133208,245058
152,136808,250412
154,140456,255441
156,144152,261584
158,147896,267479
160,151688,272805
162,155528,278796
164,159416,284407
166,163352,291150
168,167336,296275
170,171368,302921
172,175448,308414
174,179576,314838
176,183752,321640
178,187976,327694
180,192248,333845
182,196568,340870
184,200936,346819
186,205352,352880
188,209816,359990
190,214328,365459
192,218888,373421
194,223496,378805
196,228152,385876
198,232856,392284
200,237608,400155
202,242408,406746
204,247256,414886
206,252152,421437
208,257096,428211
210,262088,435019
212,267128,442337
214,272216,448694
216,277352,457450
218,282536,464924
220,287768,472327
222,293048,479658
224,298376,487113
226,303752,495010
228,309176,502992
230,314648,509527
232,320168,518161
234,325736,525269
236,331352,533505
238,337016,540757
240,342728,550307
242,348488,558013
244,354296,565683
246,360152,574291
248,366056,581649
250,372008,590607
252,378008,598960
254,384056,607279
256,390152,614718
259,399386,629836
262,408728,641656
265,418178,654956
268,427736,667574
271,437402,682421
274,447176,693860
277,457058,708789
280,467048,721778
283,477146,736701
286,487352,749724
289,497666,764381
292,508088,777964
295,518618,793499
298,529256,807175
301,540002,822348
